Date,Product,Category,Region,Sales,Units,Profit,Discount
2024-01-15,Laptop,Electronics,North,1200.50,3,240.10,0.05
2024-01-16,Mouse,Electronics,South,25.99,8,5.20,0.00
2024-01-17,Keyboard,Electronics,East,89.99,5,17.99,0.10
2024-01-18,Monitor,Electronics,West,349.99,2,69.99,0.00
2024-01-19,Headphones,Electronics,North,199.99,4,39.99,0.15
2024-01-20,Tablet,Electronics,South,599.99,3,119.99,0.05
2024-01-21,Phone,Electronics,East,899.99,2,179.99,0.00
2024-01-22,Charger,Electronics,West,29.99,10,5.99,0.20
2024-01-23,Laptop,Electronics,North,1150.00,2,230.00,0.00
2024-01-24,Mouse,Electronics,South,24.99,12,4.99,0.00
2024-01-25,Keyboard,Electronics,East,85.00,6,17.00,0.05
2024-01-26,Monitor,Electronics,West,329.99,1,65.99,0.00
2024-01-27,Headphones,Electronics,North,189.99,3,37.99,0.10
2024-01-28,Tablet,Electronics,South,579.99,4,115.99,0.00
2024-01-29,Phone,Electronics,East,879.99,1,175.99,0.00
2024-01-30,Charger,Electronics,West,27.99,15,5.59,0.15
2024-02-01,Laptop,Electronics,North,1250.00,4,250.00,0.00
2024-02-02,Mouse,Electronics,South,26.99,9,5.39,0.00
2024-02-03,Keyboard,Electronics,East,92.99,7,18.59,0.05
2024-02-04,Monitor,Electronics,West,369.99,3,73.99,0.10
2024-02-05,Headphones,Electronics,North,209.99,5,41.99,0.00
2024-02-06,Tablet,Electronics,South,619.99,2,123.99,0.05
2024-02-07,Phone,Electronics,East,919.99,3,183.99,0.00
2024-02-08,Charger,Electronics,West,31.99,8,6.39,0.20
2024-02-09,Laptop,Electronics,North,1180.00,3,236.00,0.00
2024-02-10,Mouse,Electronics,South,23.99,11,4.79,0.00
2024-02-11,Keyboard,Electronics,East,87.99,4,17.59,0.10
2024-02-12,Monitor,Electronics,West,339.99,2,67.99,0.00
2024-02-13,Headphones,Electronics,North,195.99,6,39.19,0.15
2024-02-14,Tablet,Electronics,South,589.99,3,117.99,0.00
2024-02-15,Phone,Electronics,East,889.99,2,177.99,0.05
2024-02-16,Charger,Electronics,West,28.99,13,5.79,0.00
2024-02-17,Laptop,Electronics,North,1220.00,5,244.00,0.00
2024-02-18,Mouse,Electronics,South,27.99,7,5.59,0.00
2024-02-19,Keyboard,Electronics,East,94.99,8,18.99,0.05
2024-02-20,Monitor,Electronics,West,379.99,1,75.99,0.10
2024-02-21,Headphones,Electronics,North,219.99,4,43.99,0.00
2024-02-22,Tablet,Electronics,South,639.99,4,127.99,0.05
2024-02-23,Phone,Electronics,East,939.99,1,187.99,0.00
2024-02-24,Charger,Electronics,West,32.99,9,6.59,0.20
2024-02-25,Laptop,Electronics,North,1190.00,2,238.00,0.00
2024-02-26,Mouse,Electronics,South,25.49,10,5.09,0.00
2024-02-27,Keyboard,Electronics,East,91.49,5,18.29,0.10
2024-02-28,Monitor,Electronics,West,349.49,3,69.89,0.00
2024-02-29,Headphones,Electronics,North,202.49,7,40.49,0.15
2024-03-01,Tablet,Electronics,South,609.49,2,121.89,0.00
2024-03-02,Phone,Electronics,East,909.49,3,181.89,0.05
2024-03-03,Charger,Electronics,West,30.49,12,6.09,0.00
2024-03-04,Laptop,Electronics,North,1230.00,4,246.00,0.00
2024-03-05,Mouse,Electronics,South,26.49,8,5.29,0.00
2024-03-06,Keyboard,Electronics,East,88.49,6,17.69,0.05
2024-03-07,Monitor,Electronics,West,359.49,2,71.89,0.10
2024-03-08,Headphones,Electronics,North,212.49,5,42.49,0.00
2024-03-09,Tablet,Electronics,South,629.49,3,125.89,0.05
2024-03-10,Phone,Electronics,East,929.49,2,185.89,0.00
2024-03-11,Charger,Electronics,West,31.49,11,6.29,0.20
